code,context,function,category,severity,cwe,language,project_type,is_vulnerable,source
_META_FILE_PATTERN = re.compile(,"        ]
    )

    _META_FILE_PATTERN = re.compile(
        rf""(?P<annotations>({'|'.join(_ANN_DECODERS.keys())}))_(?P<split>[a-zA-Z]+)(?P<year>\d+)[.]json""
    )
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"_TRAIN_IMAGE_NAME_PATTERN = re.compile(r""(?P<wnid>n\d{8})_\d+[.]JPEG"")","
        return resources

    _TRAIN_IMAGE_NAME_PATTERN = re.compile(r""(?P<wnid>n\d{8})_\d+[.]JPEG"")

    def _prepare_train_data(self, data: tuple[str, BinaryIO]) -> tuple[tuple[Label, str], tuple[str, BinaryIO]]:
        path = pathlib.Path(data[0])",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"_VAL_TEST_IMAGE_NAME_PATTERN = re.compile(r""ILSVRC2012_(val|test)_(?P<id>\d{8})[.]JPEG"")","            ""ILSVRC2012_validation_ground_truth.txt"": ImageNetDemux.LABEL,
        }.get(pathlib.Path(data[0]).name)

    _VAL_TEST_IMAGE_NAME_PATTERN = re.compile(r""ILSVRC2012_(val|test)_(?P<id>\d{8})[.]JPEG"")

    def _val_test_image_key(self, path: pathlib.Path) -> int:
        return int(self._VAL_TEST_IMAGE_NAME_PATTERN.match(path.name)[""id""])  # type: ignore[index]",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"pattern = re.compile(r""\s*'(?P<category>\w+)';\s*%(?P<label>\d+)"")","        dp = Mapper(dp, bytes.decode, input_col=1)
        lines = tuple(zip(*iter(dp)))[1]

        pattern = re.compile(r""\s*'(?P<category>\w+)';\s*%(?P<label>\d+)"")
        categories_and_labels = cast(
            list[tuple[str, ...]],
            [",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"content = cast(dict[str, Any], pickle.load(file, encoding=""latin1""))","
    def _unpickle(self, data: tuple[str, io.BytesIO]) -> dict[str, Any]:
        _, file = data
        content = cast(dict[str, Any], pickle.load(file, encoding=""latin1""))
        file.close()
        return content
",pickle.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"_IMAGES_NAME_PATTERN = re.compile(r""image_(?P<id>\d+)[.]jpg"")","        )
        return [images, anns]

    _IMAGES_NAME_PATTERN = re.compile(r""image_(?P<id>\d+)[.]jpg"")
    _ANNS_NAME_PATTERN = re.compile(r""annotation_(?P<id>\d+)[.]mat"")
    _ANNS_CATEGORY_MAP = {
        ""Faces_2"": ""Faces"",",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"_ANNS_NAME_PATTERN = re.compile(r""annotation_(?P<id>\d+)[.]mat"")","        return [images, anns]

    _IMAGES_NAME_PATTERN = re.compile(r""image_(?P<id>\d+)[.]jpg"")
    _ANNS_NAME_PATTERN = re.compile(r""annotation_(?P<id>\d+)[.]mat"")
    _ANNS_CATEGORY_MAP = {
        ""Faces_2"": ""Faces"",
        ""Faces_3"": ""Faces_easy"",",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
data = pickle.load(fobj),"
    def __iter__(self) -> Iterator[Any]:
        for _, fobj in self.source_datapipe:
            data = pickle.load(fobj)
            for _, d in enumerate(data):
                yield d
",pickle.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
importlib.import_module(dependency),"    ) -> None:
        for dependency in dependencies:
            try:
                importlib.import_module(dependency)
            except ModuleNotFoundError:
                raise ModuleNotFoundError(
                    f""{type(self).__name__}() depends on the third-party package '{dependency}'. """,code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"    if backend not in torch.backends.quantized.supported_engines:
        raise RuntimeError(""Quantized backend not supported "")
    torch.backends.quantized.engine = backend
    model.eval()
    # Make sure that weight qconfig matches that of the serialized models
    if backend == ""fbgemm"":
        model.qconfig = torch.ao.quantization.QConfig(  # type: ignore[assignment]",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"
    if quantize:
        torch.ao.quantization.convert(model, inplace=True)
        model.eval()

    return model
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
# and frozen for the rest of the training process (i.e. set as eval()). The bias term is thus still useful,"        # Note regarding bias=True:
        # Usually we can pass bias=False in conv layers followed by a norm layer.
        # But in the RAFT training reference, the BatchNorm2d layers are only activated for the first dataset,
        # and frozen for the rest of the training process (i.e. set as eval()). The bias term is thus still useful
        # for the rest of the datasets. Technically, we could remove the bias for other norm layers like Instance norm
        # because these aren't frozen, but we don't bother (also, we wouldn't be able to load the original weights).
        self.convnormrelu1 = Conv2dNormActivation(",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"    Example:

        >>> model = torchvision.models.detection.ssdlite320_mobilenet_v3_large(weights=SSDLite320_MobileNet_V3_Large_Weights.DEFAULT)
        >>> model.eval()
        >>> x = [torch.rand(3, 320, 320), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"    Example:

        >>> model = torchvision.models.detection.ssd300_vgg16(weights=SSD300_VGG16_Weights.DEFAULT)
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 300), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"        >>>                    num_classes=2,
        >>>                    rpn_anchor_generator=anchor_generator,
        >>>                    box_roi_pool=roi_pooler)
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
    """"""",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"        >>>     targets.append(d)
        >>> output = model(images, targets)
        >>> # For inference
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
        >>>",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"    Example::

        >>> model = torchvision.models.detection.fasterrcnn_mobilenet_v3_large_320_fpn(weights=FasterRCNN_MobileNet_V3_Large_320_FPN_Weights.DEFAULT)
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"    Example::

        >>> model = torchvision.models.detection.fasterrcnn_mobilenet_v3_large_fpn(weights=FasterRCNN_MobileNet_V3_Large_FPN_Weights.DEFAULT)
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"        >>>     num_classes=80,
        >>>     anchor_generator=anchor_generator,
        >>> )
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
    """"""",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"    Example:

        >>> model = torchvision.models.detection.fcos_resnet50_fpn(weights=FCOS_ResNet50_FPN_Weights.DEFAULT)
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"        >>>                  rpn_anchor_generator=anchor_generator,
        >>>                  box_roi_pool=roi_pooler,
        >>>                  mask_roi_pool=mask_roi_pooler)
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
    """"""",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"    Example::

        >>> model = torchvision.models.detection.maskrcnn_resnet50_fpn(weights=MaskRCNN_ResNet50_FPN_Weights.DEFAULT)
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
        >>>",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"        >>> model = RetinaNet(backbone,
        >>>                   num_classes=2,
        >>>                   anchor_generator=anchor_generator)
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
    """"""",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"    Example::

        >>> model = torchvision.models.detection.retinanet_resnet50_fpn(weights=RetinaNet_ResNet50_FPN_Weights.DEFAULT)
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"        >>>                      rpn_anchor_generator=anchor_generator,
        >>>                      box_roi_pool=roi_pooler,
        >>>                      keypoint_roi_pool=keypoint_roi_pooler)
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
    """"""",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
>>> model.eval(),"    Example::

        >>> model = torchvision.models.detection.keypointrcnn_resnet50_fpn(weights=KeypointRCNN_ResNet50_FPN_Weights.DEFAULT)
        >>> model.eval()
        >>> x = [torch.rand(3, 300, 400), torch.rand(3, 500, 400)]
        >>> predictions = model(x)
        >>>",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"        out_channels (List[int]): A list of the output channels of the model.
    """"""
    in_training = model.training
    model.eval()

    with torch.no_grad():
        # Use dummy data to retrieve the feature map sizes to avoid hard-coding their values",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
model = model.eval(),"device = ""cuda"" if torch.cuda.is_available() else ""cpu""

model = raft_large(weights=Raft_Large_Weights.DEFAULT, progress=False).to(device)
model = model.eval()

list_of_flows = model(img1_batch.to(device), img2_batch.to(device))
print(f""type = {type(list_of_flows)}"")",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
model = model.eval(),"images = [transforms(d) for d in dog_list]

model = fasterrcnn_resnet50_fpn(weights=weights, progress=False)
model = model.eval()

outputs = model(images)
print(outputs)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
model = model.eval(),"transforms = weights.transforms(resize_size=None)

model = fcn_resnet50(weights=weights, progress=False)
model = model.eval()

batch = torch.stack([transforms(d) for d in dog_list])
output = model(batch)['out']",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
model = model.eval(),"images = [transforms(d) for d in dog_list]

model = maskrcnn_resnet50_fpn(weights=weights, progress=False)
model = model.eval()

output = model(images)
print(output)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
model = model.eval(),"person_float = transforms(person_int)

model = keypointrcnn_resnet50_fpn(weights=weights, progress=False)
model = model.eval()

outputs = model([person_float])
print(outputs)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"self.resnet18 = resnet18(weights=weights, progress=False).eval()","    def __init__(self):
        super().__init__()
        weights = ResNet18_Weights.DEFAULT
        self.resnet18 = resnet18(weights=weights, progress=False).eval()
        self.transforms = weights.transforms(antialias=True)

    def forward(self, x: torch.Tensor) -> torch.Tensor:",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"checkpoint = torch.load(args.resume, map_location=""cpu"", weights_only=True)","        model_without_ddp = model.module

    if args.resume:
        checkpoint = torch.load(args.resume, map_location=""cpu"", weights_only=True)
        model_without_ddp.load_state_dict(checkpoint[""model""])
        optimizer.load_state_dict(checkpoint[""optimizer""])
        lr_scheduler.load_state_dict(checkpoint[""lr_scheduler""])",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"        data_loader_calibration = torch.utils.data.DataLoader(
            ds, batch_size=args.batch_size, shuffle=False, num_workers=args.workers, pin_memory=True
        )
        model.eval()
        model.fuse_model(is_qat=False)
        model.qconfig = torch.ao.quantization.get_default_qconfig(args.qbackend)
        torch.ao.quantization.prepare(model, inplace=True)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
quantized_eval_model.eval(),"
            evaluate(model, criterion, data_loader_test, device=device, log_suffix=""QAT"")
            quantized_eval_model = copy.deepcopy(model_without_ddp)
            quantized_eval_model.eval()
            quantized_eval_model.to(torch.device(""cpu""))
            torch.ao.quantization.convert(quantized_eval_model, inplace=True)
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"checkpoint = torch.load(checkpoint_path, map_location=""cpu"", weights_only=True)","
    # Deep copy to avoid side effects on the model object.
    model = copy.deepcopy(model)
    checkpoint = torch.load(checkpoint_path, map_location=""cpu"", weights_only=True)

    # Load the weights to the model to validate that everything works
    # and remove unnecessary weights (such as auxiliaries, etc.)",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
state = torch.load(,"    num_models = len(inputs)
    for fpath in inputs:
        with open(fpath, ""rb"") as f:
            state = torch.load(
                f, map_location=(lambda s, _: torch.serialization.default_restore_location(s, ""cpu"")), weights_only=True
            )
        # Copies over the settings from the first checkpoint",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"dataset, _ = torch.load(cache_path, weights_only=False)","        # Attention, as the transforms are also cached!
        print(f""Loading dataset_train from {cache_path}"")
        # TODO: this could probably be weights_only=True
        dataset, _ = torch.load(cache_path, weights_only=False)
    else:
        # We need a default value for the variables below because args may come
        # from train_quantization.py which doesn't define them.",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"dataset_test, _ = torch.load(cache_path, weights_only=False)","        # Attention, as the transforms are also cached!
        print(f""Loading dataset_test from {cache_path}"")
        # TODO: this could probably be weights_only=True
        dataset_test, _ = torch.load(cache_path, weights_only=False)
    else:
        if args.weights and args.test_only:
            weights = torchvision.models.get_weight(args.weights)",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"checkpoint = torch.load(args.resume, map_location=""cpu"", weights_only=True)","        model_ema = utils.ExponentialMovingAverage(model_without_ddp, device=device, decay=1.0 - alpha)

    if args.resume:
        checkpoint = torch.load(args.resume, map_location=""cpu"", weights_only=True)
        model_without_ddp.load_state_dict(checkpoint[""model""])
        if not args.test_only:
            optimizer.load_state_dict(checkpoint[""optimizer""])",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"

def evaluate(model, criterion, data_loader, device, print_freq=100, log_suffix=""""):
    model.eval()
    metric_logger = utils.MetricLogger(delimiter=""  "")
    header = f""Test: {log_suffix}""
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"checkpoint = torch.load(args.resume, map_location=""cpu"", weights_only=True)","        lr_scheduler = main_lr_scheduler

    if args.resume:
        checkpoint = torch.load(args.resume, map_location=""cpu"", weights_only=True)
        model_without_ddp.load_state_dict(checkpoint[""model""], strict=not args.test_only)
        if not args.test_only:
            optimizer.load_state_dict(checkpoint[""optimizer""])",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"

def evaluate(model, data_loader, device, num_classes):
    model.eval()
    confmat = utils.ConfusionMatrix(num_classes)
    metric_logger = utils.MetricLogger(delimiter=""  "")
    header = ""Test:""",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"dataset, _ = torch.load(cache_path, weights_only=False)","
    if args.cache_dataset and os.path.exists(cache_path):
        print(f""Loading dataset_train from {cache_path}"")
        dataset, _ = torch.load(cache_path, weights_only=False)
        dataset.transform = transform_train
    else:
        if args.distributed:",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"dataset_test, _ = torch.load(cache_path, weights_only=False)","
    if args.cache_dataset and os.path.exists(cache_path):
        print(f""Loading dataset_test from {cache_path}"")
        dataset_test, _ = torch.load(cache_path, weights_only=False)
        dataset_test.transform = transform_test
    else:
        if args.distributed:",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"checkpoint = torch.load(args.resume, map_location=""cpu"", weights_only=True)","        model_without_ddp = model.module

    if args.resume:
        checkpoint = torch.load(args.resume, map_location=""cpu"", weights_only=True)
        model_without_ddp.load_state_dict(checkpoint[""model""])
        optimizer.load_state_dict(checkpoint[""optimizer""])
        lr_scheduler.load_state_dict(checkpoint[""lr_scheduler""])",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"

def evaluate(model, criterion, data_loader, device):
    model.eval()
    metric_logger = utils.MetricLogger(delimiter=""  "")
    header = ""Test:""
    num_processed_samples = 0",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"model.load_state_dict(torch.load(args.resume, weights_only=True))","
    model = EmbeddingNet()
    if args.resume:
        model.load_state_dict(torch.load(args.resume, weights_only=True))

    model.to(device)
",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"
@torch.inference_mode()
def evaluate(model, loader, device):
    model.eval()
    embeds, labels = [], []
    dists, targets = None, None
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
m.eval(),"def freeze_batch_norm(model):
    for m in model.modules():
        if isinstance(m, torch.nn.BatchNorm2d):
            m.eval()
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"checkpoint = torch.load(args.resume, map_location=""cpu"", weights_only=True)","        model_without_ddp = model

    if args.resume is not None:
        checkpoint = torch.load(args.resume, map_location=""cpu"", weights_only=True)
        model_without_ddp.load_state_dict(checkpoint[""model""])

    if args.test_only:",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"    batch_size = batch_size or args.batch_size
    device = torch.device(args.device)

    model.eval()

    if args.distributed:
        sampler = torch.utils.data.distributed.DistributedSampler(val_dataset, shuffle=False, drop_last=True)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
