code,file_path,category,severity,cwe,confidence,language,project,is_vulnerable,context,code_length,has_exec,has_sql,has_memcpy,has_password,has_verify_false,is_test_file,is_config_file,context_length,context_has_bounds_check,severity_encoded,lang_C/C++,lang_Go,lang_JavaScript,lang_Python,cat_Buffer Overflow,cat_Command Injection,cat_Hardcoded Credentials,cat_Information Disclosure,cat_Insecure Data Transmission,cat_Insecure RPC,cat_Integer Overflow,cat_Path Traversal,cat_Private Key Exposure,cat_Race Condition,cat_SQL Injection,cat_Unchecked Return Value,cat_Use After Free,cat_Weak Cryptography
"sprintf( buf, ""%04d%02d%02d%02d%02d%02d%03d%p%d"",",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"	char * _test = NULL;

	gettimeofday(&timer, NULL);",49,0,0,1,0,0,0,0,51,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy( _ctx->key->exp_data, _ctx->key->data, _ctx->key->data_len );",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"
	if( NULL == _ctx->key->exp_data )
		return OAES_RET_MEM;",68,0,0,1,1,0,0,0,58,1,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
_key->data[_i] = (uint8_t) rand();,src/crypto/oaes_lib.c,Weak Cryptography,CRITICAL,CWE-327,0.9,C/C++,Electroneum,1,"
	for( _i = 0; _i < key_size; _i++ )
#ifdef OAES_HAVE_ISAAC",34,0,0,0,1,0,0,0,59,0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"memcpy( data, _ctx->key->data, *data_len );",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"		return OAES_RET_SUCCESS;

	if( _data_len_in < *data_len )",43,0,0,1,1,0,0,0,59,1,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy( _ctx->key->data, data, data_len );",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"	{
		oaes_key_destroy( &(_ctx->key) );
		return OAES_RET_MEM;",42,0,0,1,1,0,0,0,61,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy( _ctx->rctx->randrsl, _seed, RANDSIZ );",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"			return NULL;
		}
",46,0,0,1,0,0,0,0,20,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
srand( oaes_get_seed() );,src/crypto/oaes_lib.c,Weak Cryptography,CRITICAL,CWE-327,0.9,C/C++,Electroneum,1,"		memset( _ctx->rctx->randrsl, 0, RANDSIZ );
		memcpy( _ctx->rctx->randrsl, _seed, RANDSIZ );
		randinit( _ctx->rctx, TRUE);",25,0,0,0,0,0,0,0,124,0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
_ctx->iv[_i] = (uint8_t) rand();,src/crypto/oaes_lib.c,Weak Cryptography,CRITICAL,CWE-327,0.9,C/C++,Electroneum,1,"			{
				for( _i = 0; _i < OAES_BLOCK_SIZE; _i++ )
#ifdef OAES_HAVE_ISAAC",32,0,0,0,0,0,0,0,73,0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"memcpy(&_options, c + 6, sizeof(_options));",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"		default:
			return OAES_RET_HEADER;
	}",43,0,0,1,0,0,0,0,40,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(&_flags, c + 8, sizeof(_flags));",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"		return OAES_RET_HEADER;
	if( _options == OAES_OPTION_NONE )
		return OAES_RET_HEADER;",39,0,0,1,0,0,0,0,87,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(result, &state, n);",src/crypto/random.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    return;
  }
  for (;;) {",26,0,0,1,0,0,0,0,28,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(result, &state, HASH_DATA_AREA);",src/crypto/random.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"      assert(curstate == 2);
      curstate = 1;
#endif",39,0,0,1,0,0,0,0,55,1,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(hash, &state, HASH_SIZE);",src/crypto/hash.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"}

void cn_fast_hash(const void *data, size_t length, char *hash) {",32,0,0,1,0,0,0,0,67,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(JIT_code, (src), (size)); \",src/crypto/CryptonightR_JIT.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"
#define APPEND_CODE(src, size) \
	do { \",34,0,0,1,0,0,0,0,41,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case 224: memcpy(state->x,JH224_H0,128); break;",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"      state->hashbitlen = hashbitlen;

      /*load the intital hash value into state*/",47,0,0,1,0,0,0,0,87,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case 256: memcpy(state->x,JH256_H0,128); break;",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"
      /*load the intital hash value into state*/
      switch (hashbitlen)",47,0,0,1,0,0,0,0,75,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case 384: memcpy(state->x,JH384_H0,128); break;",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"      /*load the intital hash value into state*/
      switch (hashbitlen)
      {",47,0,0,1,0,0,0,0,82,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case 512: memcpy(state->x,JH512_H0,128); break;",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"      switch (hashbitlen)
      {
            case 224: memcpy(state->x,JH224_H0,128); break;",47,0,0,1,0,0,0,0,93,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(state->buffer + (state->datasize_in_buffer >> 3), data, 64-(state->datasize_in_buffer >> 3)) ;",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"      /*we assume that the size of the data in the buffer is the multiple of 8 bits if it is not at the end of a message*/

      /*There is data in the buffer, but the incoming data is insufficient for a full block*/",101,0,0,1,0,0,0,0,217,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"else memcpy(state->buffer + (state->datasize_in_buffer >> 3), data, 64-(state->datasize_in_buffer >> 3)+1) ;",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"      /*There is data in the buffer, but the incoming data is insufficient for a full block*/
      if ( (state->datasize_in_buffer > 0 ) && (( state->datasize_in_buffer + databitlen) < 512)  ) {
            if ( (databitlen & 7) == 0 ) {",108,0,0,1,0,0,0,0,238,1,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy( state->buffer + (state->datasize_in_buffer >> 3), data, 64-(state->datasize_in_buffer >> 3) ) ;",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"            databitlen = 0;
      }
",103,0,0,1,0,0,0,0,36,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(state->buffer, data+index, 64);",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"	        state->datasize_in_buffer = 0;
      }
",38,0,0,1,0,0,0,0,48,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(state->buffer, data+index, (databitlen & 0x1ff) >> 3);",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"      }

      /*store the partial block into buffer, assume that -- if part of the last byte is not part of the message, then that part consists of 0 bits*/",61,0,0,1,0,0,0,0,157,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(state->buffer, data+index, ((databitlen & 0x1ff) >> 3)+1);",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"      /*store the partial block into buffer, assume that -- if part of the last byte is not part of the message, then that part consists of 0 bits*/
      if ( databitlen > 0) {
            if ((databitlen & 7) == 0)",65,0,0,1,0,0,0,0,216,1,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case 224: memcpy(hashval,(unsigned char*)state->x+64+36,28);  break;",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"            F8(state);
      }
",68,0,0,1,0,0,0,0,31,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case 256: memcpy(hashval,(unsigned char*)state->x+64+32,32);  break;",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"      }

      /*truncating the final hash value to generate the message digest*/",68,0,0,1,0,0,0,0,81,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case 384: memcpy(hashval,(unsigned char*)state->x+64+16,48);  break;",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"
      /*truncating the final hash value to generate the message digest*/
      switch(state->hashbitlen) {",68,0,0,1,0,0,0,0,107,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case 512: memcpy(hashval,(unsigned char*)state->x+64,64);     break;",src/crypto/jh.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"      /*truncating the final hash value to generate the message digest*/
      switch(state->hashbitlen) {
            case 224: memcpy(hashval,(unsigned char*)state->x+64+36,28);  break;",68,0,0,1,0,0,0,0,187,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(tmp, data, length);",src/crypto/chacha.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"  j14 = U8TO32_LITTLE(iv + 0);
  j15 = U8TO32_LITTLE(iv + 4);
",26,0,0,1,0,0,0,0,62,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(ctarget, cipher, length);",src/crypto/chacha.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    U32TO8_LITTLE(cipher + 56,x14);
    U32TO8_LITTLE(cipher + 60,x15);
",32,0,0,1,0,0,0,0,72,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(root_hash, hashes, HASH_SIZE);",src/crypto/tree-hash.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"// exploitation on normal platforms, how ever we strongly recommend the following fix because it removes
// mistake in mathematical formula.
",37,0,0,1,0,0,0,0,141,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(ints, hashes, (2 * cnt - count) * HASH_SIZE);",src/crypto/tree-hash.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    size_t cnt = tree_hash_cnt( count );

    char *ints = calloc(cnt, HASH_SIZE);  // zero out as extra protection for using uninitialized mem",52,0,0,1,0,0,0,0,143,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case  256: memcpy(ctx->X,SKEIN_256_IV_256,sizeof(ctx->X));  break;",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    ctx->h.hashBitLen = hashBitLen;         /* output hash bit count */

    switch (hashBitLen)",66,0,0,1,0,0,0,0,96,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case  224: memcpy(ctx->X,SKEIN_256_IV_224,sizeof(ctx->X));  break;",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"
    switch (hashBitLen)
        {             /* use pre-computed values, where available */",66,0,0,1,0,0,0,0,93,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case  160: memcpy(ctx->X,SKEIN_256_IV_160,sizeof(ctx->X));  break;",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    switch (hashBitLen)
        {             /* use pre-computed values, where available */
#ifndef SKEIN_NO_PRECOMP",66,0,0,1,0,0,0,0,117,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case  128: memcpy(ctx->X,SKEIN_256_IV_128,sizeof(ctx->X));  break;",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"        {             /* use pre-computed values, where available */
#ifndef SKEIN_NO_PRECOMP
        case  256: memcpy(ctx->X,SKEIN_256_IV_256,sizeof(ctx->X));  break;",66,0,0,1,0,0,0,0,168,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(ctx->X,cfg.b,sizeof(cfg.b));     /* copy over into ctx->X[] */",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"        ctx->h.hashBitLen=8*sizeof(ctx->X);     /* set output hash bit count = state size */
        Skein_Start_New_Type(ctx,KEY);          /* set tweaks: T0 = 0; T1 = KEY type */
        memset(ctx->X,0,sizeof(ctx->X));        /* zero the initial chaining variables */",69,0,0,1,0,0,0,0,270,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(&ctx->b[ctx->h.bCnt],msg,n);",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"            {
            n = SKEIN_256_BLOCK_BYTES - ctx->h.bCnt;  /* # bytes free in buffer b[] */
            if (n)",35,0,0,1,0,0,0,0,119,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(&ctx->b[ctx->h.bCnt],msg,msgByteCnt);",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"
    /* copy any remaining source message data bytes into b[] */
    if (msgByteCnt)",44,0,0,1,0,0,0,0,84,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(X,ctx->X,sizeof(X));       /* keep a local copy of counter mode ""key"" */",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    /* now output the result */
    byteCnt = (ctx->h.hashBitLen + 7) >> 3;             /* total number of output bytes */
",79,0,0,1,1,0,0,0,123,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(ctx->X,X,sizeof(X));   /* restore the counter mode key for next time */",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"        n = byteCnt - i*SKEIN_256_BLOCK_BYTES;   /* number of output bytes left to go */
        if (n >= SKEIN_256_BLOCK_BYTES)
            n  = SKEIN_256_BLOCK_BYTES;",78,0,0,1,1,0,0,0,168,1,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case  512: memcpy(ctx->X,SKEIN_512_IV_512,sizeof(ctx->X));  break;",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    ctx->h.hashBitLen = hashBitLen;         /* output hash bit count */

    switch (hashBitLen)",66,0,0,1,0,0,0,0,96,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case  384: memcpy(ctx->X,SKEIN_512_IV_384,sizeof(ctx->X));  break;",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"
    switch (hashBitLen)
        {             /* use pre-computed values, where available */",66,0,0,1,0,0,0,0,93,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case  256: memcpy(ctx->X,SKEIN_512_IV_256,sizeof(ctx->X));  break;",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    switch (hashBitLen)
        {             /* use pre-computed values, where available */
#ifndef SKEIN_NO_PRECOMP",66,0,0,1,0,0,0,0,117,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case  224: memcpy(ctx->X,SKEIN_512_IV_224,sizeof(ctx->X));  break;",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"        {             /* use pre-computed values, where available */
#ifndef SKEIN_NO_PRECOMP
        case  512: memcpy(ctx->X,SKEIN_512_IV_512,sizeof(ctx->X));  break;",66,0,0,1,0,0,0,0,168,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(ctx->X,cfg.b,sizeof(cfg.b));     /* copy over into ctx->X[] */",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"        ctx->h.hashBitLen=8*sizeof(ctx->X);     /* set output hash bit count = state size */
        Skein_Start_New_Type(ctx,KEY);          /* set tweaks: T0 = 0; T1 = KEY type */
        memset(ctx->X,0,sizeof(ctx->X));        /* zero the initial chaining variables */",69,0,0,1,0,0,0,0,270,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(&ctx->b[ctx->h.bCnt],msg,n);",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"            {
            n = SKEIN_512_BLOCK_BYTES - ctx->h.bCnt;  /* # bytes free in buffer b[] */
            if (n)",35,0,0,1,0,0,0,0,119,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(&ctx->b[ctx->h.bCnt],msg,msgByteCnt);",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"
    /* copy any remaining source message data bytes into b[] */
    if (msgByteCnt)",44,0,0,1,0,0,0,0,84,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(X,ctx->X,sizeof(X));       /* keep a local copy of counter mode ""key"" */",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    /* now output the result */
    byteCnt = (ctx->h.hashBitLen + 7) >> 3;             /* total number of output bytes */
",79,0,0,1,1,0,0,0,123,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(ctx->X,X,sizeof(X));   /* restore the counter mode key for next time */",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"        n = byteCnt - i*SKEIN_512_BLOCK_BYTES;   /* number of output bytes left to go */
        if (n >= SKEIN_512_BLOCK_BYTES)
            n  = SKEIN_512_BLOCK_BYTES;",78,0,0,1,1,0,0,0,168,1,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case  512: memcpy(ctx->X,SKEIN1024_IV_512 ,sizeof(ctx->X)); break;",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    ctx->h.hashBitLen = hashBitLen;         /* output hash bit count */

    switch (hashBitLen)",66,0,0,1,0,0,0,0,96,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case  384: memcpy(ctx->X,SKEIN1024_IV_384 ,sizeof(ctx->X)); break;",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"
    switch (hashBitLen)
        {              /* use pre-computed values, where available */",66,0,0,1,0,0,0,0,94,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"case 1024: memcpy(ctx->X,SKEIN1024_IV_1024,sizeof(ctx->X)); break;",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    switch (hashBitLen)
        {              /* use pre-computed values, where available */
#ifndef SKEIN_NO_PRECOMP",66,0,0,1,0,0,0,0,118,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(ctx->X,cfg.b,sizeof(cfg.b));     /* copy over into ctx->X[] */",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"        ctx->h.hashBitLen=8*sizeof(ctx->X);     /* set output hash bit count = state size */
        Skein_Start_New_Type(ctx,KEY);          /* set tweaks: T0 = 0; T1 = KEY type */
        memset(ctx->X,0,sizeof(ctx->X));        /* zero the initial chaining variables */",69,0,0,1,0,0,0,0,270,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(&ctx->b[ctx->h.bCnt],msg,n);",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"            {
            n = SKEIN1024_BLOCK_BYTES - ctx->h.bCnt;  /* # bytes free in buffer b[] */
            if (n)",35,0,0,1,0,0,0,0,119,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(&ctx->b[ctx->h.bCnt],msg,msgByteCnt);",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"
    /* copy any remaining source message data bytes into b[] */
    if (msgByteCnt)",44,0,0,1,0,0,0,0,84,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(X,ctx->X,sizeof(X));       /* keep a local copy of counter mode ""key"" */",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    /* now output the result */
    byteCnt = (ctx->h.hashBitLen + 7) >> 3;             /* total number of output bytes */
",79,0,0,1,1,0,0,0,123,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(ctx->X,X,sizeof(X));   /* restore the counter mode key for next time */",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"        n = byteCnt - i*SKEIN1024_BLOCK_BYTES;   /* number of output bytes left to go */
        if (n >= SKEIN1024_BLOCK_BYTES)
            n  = SKEIN1024_BLOCK_BYTES;",78,0,0,1,1,0,0,0,168,1,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy(X,ctx->X,sizeof(X));       /* keep a local copy of counter mode ""key"" */",src/crypto/skein.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"    /* now output the result */
    byteCnt = (ctx->h.hashBitLen + 7) >> 3;    /* total number of output bytes */
",79,0,0,1,1,0,0,0,114,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
